Raj 12/11/05

{idx: 0, pid: "p1", seconds: 0, currentTime: 0.016477}
{idx: 1, pid: "p2", seconds: 10.28, currentTime: 10.305831}
{idx: 2, pid: "p3", seconds: 62.26, currentTime: 62.353539}
{idx: 3, pid: "p4", seconds: 126.43, currentTime: 126.58839}
{idx: 4, pid: "p5", seconds: 143.76, currentTime: 143.84356}
{idx: 5, pid: "p6", seconds: 236.16, currentTime: 236.342923}
{idx: 6, pid: "p7", seconds: 342.23, currentTime: 342.348295}
{idx: 7, pid: "p8", seconds: 407.81, currentTime: 407.852326}
{idx: 8, pid: "p9", seconds: 505.74, currentTime: 505.855078}
{idx: 9, pid: "p10", seconds: 560.73, currentTime: 560.845172}
{idx: 10, pid: "p11", seconds: 635.31, currentTime: 635.332524}
{idx: 11, pid: "p12", seconds: 690.3, currentTime: 690.356979}
{idx: 12, pid: "p13", seconds: 780.19, currentTime: 780.341815}
{idx: 13, pid: "p14", seconds: 840.95, currentTime: 841.108249}
{idx: 14, pid: "p15", seconds: 984.34, currentTime: 984.591829}
{idx: 15, pid: "p16", seconds: 1083.79, currentTime: 1083.833959}
{idx: 16, pid: "p17", seconds: 1130.99, currentTime: 1131.083638}
{idx: 17, pid: "p18", seconds: 1214.61, currentTime: 1214.844433}
{idx: 18, pid: "p19", seconds: 1284.33, currentTime: 1284.351278}
{idx: 19, pid: "p20", seconds: 1343.34, currentTime: 1343.349936}
{idx: 20, pid: "p21", seconds: 1402.09, currentTime: 1402.334497}
{idx: 21, pid: "p22", seconds: 1461.09, currentTime: 1461.090108}
{idx: 22, pid: "p23", seconds: 1548.47, currentTime: 1548.604128}
{idx: 23, pid: "p24", seconds: 1565.55, currentTime: 1565.585023}
{idx: 24, pid: "p25", seconds: 1620.55, currentTime: 1620.606555}
{idx: 25, pid: "p26", seconds: 1682.57, currentTime: 1682.590744}
{idx: 26, pid: "p27", seconds: 1725, currentTime: 1725.083513}
{idx: 27, pid: "p28", seconds: 1766.18, currentTime: 1766.35327}
{idx: 28, pid: "p29", seconds: 1842.26, currentTime: 1842.339339}
{idx: 29, pid: "p30", seconds: 1894.49, currentTime: 1894.589193}
{idx: 30, pid: "p31", seconds: 1976.86, currentTime: 1977.079592}
{idx: 31, pid: "p32", seconds: 2036.37, currentTime: 2036.601854}
{idx: 32, pid: "p33", seconds: 2160.15, currentTime: 2160.338827}
{idx: 33, pid: "p34", seconds: 2218.41, currentTime: 2218.592445}
{idx: 34, pid: "p35", seconds: 2377.61, currentTime: 2377.832731}
{idx: 35, pid: "p36", seconds: 2491.36, currentTime: 2491.603005}
{idx: 36, pid: "p37", seconds: 2520.74, currentTime: 2520.844174}
{idx: 37, pid: "p38", seconds: 2590.29, currentTime: 2590.356276}
{idx: 38, pid: "p39", seconds: 2609.12, currentTime: 2609.329834}
{idx: 39, pid: "p40", seconds: 2660.59, currentTime: 2660.59607}
{idx: 40, pid: "p41", seconds: 2665.86, currentTime: 2666.097954}
{idx: 41, pid: "p42", seconds: 2698.01, currentTime: 2698.096378}
{idx: 42, pid: "p43", seconds: 2720.61, currentTime: 2720.841935}
{idx: 43, pid: "p44", seconds: 2797.71, currentTime: 2797.84192}
{idx: 44, pid: "p45", seconds: 2854.45, currentTime: 2854.584818}
{idx: 45, pid: "p46", seconds: 2880.82, currentTime: 2880.834628}
{idx: 46, pid: "p47", seconds: 2989.8, currentTime: 2989.841079}
{idx: 47, pid: "p48", seconds: 3084.22, currentTime: 3084.337537}
{idx: 48, pid: "p49", seconds: 3121.39, currentTime: 3121.595257}
{idx: 49, pid: "p50", seconds: 3155.03, currentTime: 3155.097169}
{idx: 50, pid: "p51", seconds: 3236.14, currentTime: 3236.334368}
{idx: 51, pid: "p52", seconds: 3298.16, currentTime: 3298.35313}
{idx: 52, pid: "p53", seconds: 3335.32, currentTime: 3335.339455}
